Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD
1/1/2021,APAC,Pen Tablet,Wacom Intuos M,Training,210,268689.33,14290.2,282979.53
1/2/2021,APAC,Mobile Studio,MobileStudio Pro 16,Cloud Services,167,50159.36,5169.12,55328.48
1/3/2021,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,182,272117.3,27777.19,299894.49
1/4/2021,North America,Display Tablet,Wacom One Display,Extended Warranty,141,211997.11,27227.43,239224.54
1/5/2021,APAC,Pen Tablet,Wacom Intuos M,Training,228,368486.38,54894.78,423381.16
1/6/2021,Europe,Accessories,Pro Pen 2,Training,194,67003.32,9087.45,76090.77
1/7/2021,Europe,Accessories,Wacom Stand,Cloud Services,159,114033.32,12057.63,126090.95
1/8/2021,Japan,Accessories,Pro Pen 2,Support Plan,146,68661.48,9185.12,77846.6
1/9/2021,North America,Accessories,ExpressKey Remote,Cloud Services,133,82096.99,12849.52,94946.51
1/10/2021,Latin America,Display Tablet,Cintiq Pro 24,Training,188,235731.75,14041.44,249773.19
1/11/2021,Latin America,Accessories,Pro Pen 2,Support Plan,191,233696.8,32419.16,266115.96
1/12/2021,Japan,Display Tablet,Cintiq Pro 24,Training,154,49349.43,2765.26,52114.69
1/13/2021,APAC,Display Tablet,Cintiq Pro 24,Training,112,156329.38,20144.69,176474.07
1/14/2021,North America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,211,28064.41,2838.45,30902.86
1/15/2021,Europe,Accessories,Pro Pen 2,Training,128,61744.12,2973.74,64717.86
1/16/2021,Latin America,Accessories,Pro Pen 2,Training,207,214885.73,32178.22,247063.95
1/17/2021,Japan,Accessories,ExpressKey Remote,Training,198,72704.3,3139.35,75843.65
1/18/2021,APAC,Pen Tablet,One by Wacom,Extended Warranty,199,71120.1,7833.61,78953.71
1/19/2021,Japan,Accessories,Pro Pen 2,Extended Warranty,206,151483.44,12453.71,163937.15
1/20/2021,APAC,Mobile Studio,MobileStudio Pro 16,Training,122,34522.36,6029.87,40552.23
1/21/2021,Japan,Display Tablet,Cintiq Pro 24,Extended Warranty,164,286505.27,42696.48,329201.75
1/22/2021,APAC,Display Tablet,Cintiq Pro 24,Training,171,42030.51,6992.38,49022.89
