Date,Region,Product_Category,Product_Name,Service_Type,Units_Sold,Product_Revenue_USD,Service_Revenue_USD,Total_Revenue_USD,Revenue_Outlier_Flag,Year,Month,Day_Of_Week,Revenue_per_Unit,Next_Month_Revenue
2021-01-01,APAC,Pen Tablet,Wacom Intuos M,Training,210,268689.33,14290.2,282979.53,0,2021,1,4,1347.52,5085050.94
2021-01-02,APAC,Mobile Studio,MobileStudio Pro 16,Cloud Services,167,50159.36,5169.12,55328.48,0,2021,1,5,331.31,5085050.94
2021-01-03,North America,Mobile Studio,MobileStudio Pro 13,Cloud Services,182,272117.3,27777.19,299894.49,0,2021,1,6,1647.77,5085050.94
2021-01-04,North America,Display Tablet,Wacom One Display,Extended Warranty,141,211997.11,27227.43,239224.54,0,2021,1,0,1696.63,5085050.94
2021-01-05,APAC,Pen Tablet,Wacom Intuos M,Training,228,368486.38,54894.78,423381.16,0,2021,1,1,1856.93,5085050.94
2021-01-06,Europe,Accessories,Pro Pen 2,Training,194,67003.32,9087.45,76090.77,0,2021,1,2,392.22,5085050.94
2021-01-07,Europe,Accessories,Wacom Stand,Cloud Services,159,114033.32,12057.63,126090.95,0,2021,1,3,793.02,5085050.94
2021-01-08,Japan,Accessories,Pro Pen 2,Support Plan,146,68661.48,9185.12,77846.6,0,2021,1,4,533.2,5085050.94
2021-01-09,North America,Accessories,ExpressKey Remote,Cloud Services,133,82096.99,12849.52,94946.51,0,2021,1,5,713.88,5085050.94
2021-01-10,Latin America,Display Tablet,Cintiq Pro 24,Training,188,235731.75,14041.44,249773.19,0,2021,1,6,1328.58,5085050.94
2021-01-11,Latin America,Accessories,Pro Pen 2,Support Plan,191,233696.8,32419.16,266115.96,0,2021,1,0,1393.28,5085050.94
2021-01-12,Japan,Display Tablet,Cintiq Pro 24,Training,154,49349.43,2765.26,52114.69,0,2021,1,1,338.41,5085050.94
2021-01-13,APAC,Display Tablet,Cintiq Pro 24,Training,112,156329.38,20144.69,176474.07,0,2021,1,2,1575.66,5085050.94
2021-01-14,North America,Mobile Studio,MobileStudio Pro 16,Extended Warranty,211,28064.41,2838.45,30902.86,0,2021,1,3,146.46,5085050.94
2021-01-15,Europe,Accessories,Pro Pen 2,Training,128,61744.12,2973.74,64717.86,0,2021,1,4,505.61,5085050.94
2021-01-16,Latin America,Accessories,Pro Pen 2,Training,207,214885.73,32178.22,247063.95,0,2021,1,5,1193.55,5085050.94
2021-01-17,Japan,Accessories,ExpressKey Remote,Training,198,72704.3,3139.35,75843.65,0,2021,1,6,383.05,5085050.94
2021-01-18,APAC,Pen Tablet,One by Wacom,Extended Warranty,199,71120.1,7833.61,78953.71,0,2021,1,0,396.75,5085050.94
2021-01-19,Japan,Accessories,Pro Pen 2,Extended Warranty,206,151483.44,12453.71,163937.15,0,2021,1,1,795.81,5085050.94
2021-01-20,APAC,Mobile Studio,MobileStudio Pro 16,Training,122,34522.36,6029.87,40552.23,0,2021,1,2,332.4,5085050.94
2021-01-21,Japan,Display Tablet,Cintiq Pro 24,Extended Warranty,164,286505.27,42696.48,329201.75,0,2021,1,3,2007.33,5085050.94
2021-01-22,APAC,Display Tablet,Cintiq Pro 24,Training,171,42030.51,6992.38,49022.89,0,2021,1,4,286.68,5085050.94
2021-01-23,APAC,Pen Tablet,Wacom Intuos S,Support Plan,197,212022.76,13728.09,225750.85,0,2021,1,5,1145.94,5085050.94
2021-01-24,North America,Display Tablet,Cintiq Pro 24,Cloud Services,158,130065.6,16625.41,146691.01,0,2021,1,6,928.42,5085050.94
2021-01-25,North America,Pen Tablet,Wacom Intuos S,Extended Warranty,139,110531.23,5065.2,115596.43,0,2021,1,0,831.63,5085050.94
2021-01-26,North America,Pen Tablet,Wacom Intuos S,Training,194,50023.5,6116.39,56139.89,0,2021,1,1,289.38,5085050.94
2021-01-27,Europe,Accessories,Pro Pen 2,Cloud Services,164,110965.03,13618.53,124583.56,0,2021,1,2,759.66,5085050.94
2021-01-28,North America,Display Tablet,Wacom One Display,Cloud Services,139,198256.34,10226.5,208482.84,0,2021,1,3,1499.88,5085050.94
2021-01-29,APAC,Display Tablet,Cintiq 16,Training,196,208420.96,22152.75,230573.71,0,2021,1,4,1176.4,5085050.94
2021-01-30,Latin America,Accessories,Pro Pen 2,Training,163,136093.22,5855.5,141948.72,0,2021,1,5,870.85,5085050.94
2021-01-31,North America,Display Tablet,Cintiq Pro 24,Cloud Services,173,178698.99,9864.29,188563.28,0,2021,1,6,1089.96,5085050.94
2021-02-01,North America,Mobile Studio,MobileStudio Pro 16,Training,191,254112.27,37509.68,291621.95,0,2021,2,0,1526.82,6319308.26
2021-02-02,APAC,Display Tablet,Wacom One Display,Cloud Services,132,19054.15,2242.28,21296.43,0,2021,2,1,161.34,6319308.26
2021-02-03,Europe,Mobile Studio,MobileStudio Pro 13,Cloud Services,213,133227.0,23102.35,156329.35,0,2021,2,2,733.94,6319308.26
2021-02-04,APAC,Mobile Studio,MobileStudio Pro 13,Extended Warranty,178,300819.1,18965.17,319784.27,0,2021,2,3,1796.54,6319308.26
2021-02-05,Europe,Mobile Studio,MobileStudio Pro 13,Training,128,206551.67,29909.74,236461.41,0,2021,2,4,1847.35,6319308.26
2021-02-06,Europe,Accessories,Wacom Stand,Cloud Services,191,119069.01,17631.95,136700.96,0,2021,2,5,715.71,6319308.26
2021-02-07,Japan,Display Tablet,Cintiq 16,Training,197,268802.19,20629.08,289431.27,0,2021,2,6,1469.19,6319308.26
2021-02-08,Latin America,Pen Tablet,Wacom Intuos M,Support Plan,246,371340.39,22822.51,394162.9,0,2021,2,0,1602.29,6319308.26
2021-02-09,Europe,Mobile Studio,MobileStudio Pro 13,Extended Warranty,135,82857.16,12332.18,95189.34,0,2021,2,1,705.11,6319308.26
2021-02-10,Japan,Display Tablet,Cintiq Pro 24,Extended Warranty,173,17986.88,1297.79,19284.67,0,2021,2,2,111.47,6319308.26
2021-02-11,North America,Display Tablet,Wacom One Display,Extended Warranty,97,92236.09,12654.49,104890.58,0,2021,2,3,1081.35,6319308.26
